petition_id,county,year,title,title_date,reference,ll_img,head,id
1134,Cheshire,1597,Cheshire Quarter Sessions: 1590s,1597,QJF 27/2/45,,William Burges of Chelford. QJF 27/2/45 (1597),155225.xml
1135,Cheshire,1597,Cheshire Quarter Sessions: 1590s,1597,QJF 27/2/48,,"George Gatcliffe, prisoner in Chester Castle. QJF 27/2/48 (1597)",155225.xml
1136,Cheshire,1597,Cheshire Quarter Sessions: 1590s,1597,QJF 27/2/53,,John Bromefeild of Sandbache husbandman. QJF 27/2/53 (1597),155225.xml
1137,Cheshire,1598,Cheshire Quarter Sessions: 1590s,1598,QJF 27/4/15,,Seven inhabitants of Nantwich. QJF 27/4/15 (1598),155225.xml
1138,Cheshire,1598,Cheshire Quarter Sessions: 1590s,1598,QJF 28/2/11,,Roger Holland and Hugh Hignit. QJF 28/2/11 (1598),155225.xml
1139,Cheshire,1599,Cheshire Quarter Sessions: 1590s,1599,QJF 29/2/36,,Rauffe Lingard and Anne his wife. QJF 29/2/36 (1599),155225.xml
1140,Cheshire,1599,Cheshire Quarter Sessions: 1590s,1599,QJF 29/3/21,,The churchwardens and inhabitants of Barthomley and Crewe. QJF 29/3/21 (1599),155225.xml
1141,Cheshire,1599,Cheshire Quarter Sessions: 1590s,1599,QJF 29/3/22,,Unidentified person(s). QJF 29/3/22 (1599),155225.xml
1171,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 46/4/23,,Edward Richardsonn of Baggeley. QJF 46/4/23 (1618),155226.xml
1172,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 46/4/91,,Jeffery Costones. QJF 46/4/91 (1618),155226.xml
1173,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 46/4/99,,Geffery Cooe. QJF 46/4/99 (1618),155226.xml
1174,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 46/4/109,,"20 freeholders of the hundreds of Nantwich, Northwich and Bucklow. QJF 46/4/109 (1618)",155226.xml
1175,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/1/48,,Sara Aston. QJF 47/1/48 (1618),155226.xml
1176,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/1/115,,Thomas Scragge. QJF 47/1/115 (1618),155226.xml
1177,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/1/118,,John Cutler and Rose Cutler his wife. QJF 47/1/118 (1618),155226.xml
1178,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/1/120,,Roberte Cooke. QJF 47/1/120 (1618),155226.xml
1179,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/1/121,,Phillip Baguley of Marthall. QJF 47/1/121 (1618),155226.xml
1180,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/1/122,,"Edward Woodd of Owllerton, husbandman, and Alice his wiffe. QJF 47/1/122 (1618)",155226.xml
1181,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/1/124,,Lawrence Bressye and Thomas Darlington. QJF 47/1/124 (1618),155226.xml
1182,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/1/125,,Thomas Simpson of the parish of Bowdon. QJF 47/1/125 (1618),155226.xml
1183,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/1/126,,Rice Holland. QJF 47/1/126 (1618),155226.xml
1184,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/1/127,,"Margerie Hornebee, wife of John Hornebee. QJF 47/1/127 (1618)",155226.xml
1185,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/1/128,,Anne Barlowe. QJF 47/1/128 (1618),155226.xml
1186,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/1/129,,"Richard Beamond late of Weever, laborer. QJF 47/1/129 (1618)",155226.xml
1187,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/1/130,,"Robert Hallyley, vicar of Middlewych, and John Kinsey the younger. QJF 47/1/130 (1618)",155226.xml
1188,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/1/132,,John Downes of Ollerton and Jone his wife. QJF 47/1/132 (1618),155226.xml
1189,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/1/133,,"Anne Leftewiche, widow. QJF 47/1/133 (1618)",155226.xml
1190,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/1/134,,Hughe Richardson of Appleton. QJF 47/1/134 (1618),155226.xml
1191,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/1/135,,John Cragge of Marthall. QJF 47/1/135 (1618),155226.xml
1192,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/1/136,,William Carter. QJF 47/1/136 (1618),155226.xml
1193,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/1/137,,Ane Stubs. QJF 47/1/137 (1618),155226.xml
1194,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/1/138,,Richard Mullenex. QJF 47/1/138 (1618),155226.xml
1195,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/1/139,,Richard Mullenex. QJF 47/1/139 (1618),155226.xml
1196,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/1/140,,"Thomas Antrobus of Nether Knutsford, draper. QJF 47/1/140 (1618)",155226.xml
1197,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/2/79,,"Henrie Wood, prisoner in the castle of Chester. QJF 47/2/79 (1618)",155226.xml
1198,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/2/80,,Rauffe Wilkinson. QJF 47/2/80 (1618),155226.xml
1199,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/2/81,,Scopam Weyver. QJF 47/2/81 (1618),155226.xml
1200,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/2/82,,William Reynoldes. QJF 47/2/82 (1618),155226.xml
1201,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/2/83,,"Sarae Saywell of Nantwich, singlewoman. QJF 47/2/83 (1618)",155226.xml
1202,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/2/84,,Edward Dyall of Nantwych. QJF 47/2/84 (1618),155226.xml
1203,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/2/85,,"Elizabeth Foxe of Congleton, widow. QJF 47/2/85 (1618)",155226.xml
1204,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/2/89,,"Amye Hooley, spinster. QJF 47/2/89 (1618)",155226.xml
1205,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/2/90,,20 people in support of Amy Hooley. QJF 47/2/90 (1618),155226.xml
1206,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/2/92,,"John Lloyd of Stretton, gentleman. QJF 47/2/92 (1618)",155226.xml
1207,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/2/93,,"The vicar and churchwardens of Great Budworth, on behalf of John Lloyd. QJF 47/2/93 (1618)",155226.xml
1208,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/2/95,,Edward Symme of Bunburie. QJF 47/2/95 (1618),155226.xml
1209,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/2/96,,Rondle Moyle of Tushingham. QJF 47/2/96 (1618),155226.xml
1210,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/2/97,,"Hugh Grippon of Nantwich, labourer, and  Margarett his wife. QJF 47/2/97 (1618)",155226.xml
1211,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/2/99,,John Ridgewaie and William Pearpointe of Brereton. QJF 47/2/99 (1618),155226.xml
1212,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/2/100,,The supervisors for Middlewich. QJF 47/2/100 (1618),155226.xml
1213,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/2/101,,Fraunces Coppocke of Wymslowe. QJF 47/2/101 (1618),155226.xml
1214,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/3/38,,"Joane Wilson, widow. QJF 47/3/38 (1618)",155226.xml
1215,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/3/39,,"Thomas Starky of Stretton, esquire. QJF 47/3/39 (1618)",155226.xml
1216,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/3/62,,"John Deane of Nether Alderley, husbandman. QJF 47/3/62 (1618)",155226.xml
1217,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/3/63,,Mathew Johnson. QJF 47/3/63 (1618),155226.xml
1218,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/3/64,,"Katheren Briskow, spinster. QJF 47/3/64 (1618)",155226.xml
1219,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/3/65,,"William Halwod and James Deane, late constables of Church hulme. QJF 47/3/65 (1618)",155226.xml
1220,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/3/66,,Anthony Furnevall. QJF 47/3/66 (1618),155226.xml
1221,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/3/67,,The churchwardens of the parish of Bartomley. QJF 47/3/67 (1618),155226.xml
1222,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/3/68,,Frances Hursfeild of Blackden near Goostry. QJF 47/3/68 (1618),155226.xml
1223,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/3/69,,"Elizabeth Stanley, widow of Thomas Stanley of Mottram Andrew. QJF 47/3/69 (1618)",155226.xml
1224,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/3/70,,"Peter Forest of Aston, husbandman. QJF 47/3/70 (1618)",155226.xml
1225,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/3/71,,Randle Tomson of Wythinton. QJF 47/3/71 (1618),155226.xml
1226,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/3/72,,"Robert Hurpur, William Forster, John Barbur, Richard Gee and Edward Plant. QJF 47/3/72 (1618)",155226.xml
1227,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/3/73,,George Bann and Margrett his wife. QJF 47/3/73 (1618),155226.xml
1228,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/3/74,,Thomas Lunt. QJF 47/3/74 (1618),155226.xml
1229,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/3/76,,"Ellen Robinson of Warton, widow. QJF 47/3/76 (1618)",155226.xml
1230,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/3/77,,John Hortoppe of Snelson. QJF 47/3/77 (1618),155226.xml
1231,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/3/78,,Cutbert Warren and Margrett his wife. QJF 47/3/78 (1618),155226.xml
1232,Cheshire,1618,Cheshire Quarter Sessions: 1618,1618,QJF 47/3/81,,"Mary Jackson of Bosseley, widow. QJF 47/3/81 (1618)",155226.xml
1266,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 66/4/17,,John Heye and Thomas Towrould. QJF 66/4/17 (1638),155227.xml
1267,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 66/4/18,,Robert Wooddall. QJF 66/4/18 (1638),155227.xml
1268,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 66/4/21,,"John Cottingham the younger, Richard Heath and Richard Blinston. QJF 66/4/21 (1638)",155227.xml
1269,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 66/4/22,,The parishioners of Plemstoe parish. QJF 66/4/22 (1638),155227.xml
1270,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 66/4/23,,Elizabeth Webster. QJF 66/4/23 (1638),155227.xml
1271,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 66/4/24,,"John Ellam of Stockton in Appleton, freemason. QJF 66/4/24 (1638)",155227.xml
1272,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 66/4/25,,William Hesketh. QJF 66/4/25 (1638),155227.xml
1273,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 66/4/30,,Richard Dickenson. QJF 66/4/30 (1638),155227.xml
1274,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 66/4/32,,Richard Sucley. QJF 66/4/32 (1638),155227.xml
1275,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 66/4/34,,Cuthbert Carting. QJF 66/4/34 (1638),155227.xml
1276,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/1/22,,"Hughe Calveley, gentleman. QJF 67/1/22 (1638)",155227.xml
1277,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/1/23,,"Jane Barton of Wydford, widow. QJF 67/1/23 (1638)",155227.xml
1278,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/1/25,,The churchwardens and overseers of the poor for Nether Peever. QJF 67/1/25 (1638),155227.xml
1279,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/1/29,,William Vawdrye. QJF 67/1/29 (1638),155227.xml
1280,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/1/30,,Randulph Cartwright. QJF 67/1/30 (1638),155227.xml
1281,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/1/31,,"Richard Coppocke, John Worthington and Edmund Higginson. QJF 67/1/31 (1638)",155227.xml
1282,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/1/33,,"Ellizabeth Morris of Gropenhall, widow. QJF 67/1/33 (1638)",155227.xml
1283,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/1/34,,John Venne. QJF 67/1/34 (1638),155227.xml
1284,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/1/36,,Roger Wilkinson. QJF 67/1/36 (1638),155227.xml
1285,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/1/39,,William Plassye. QJF 67/1/39 (1638),155227.xml
1286,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/1/40,,William Hesketh. QJF 67/1/40 (1638),155227.xml
1287,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/1/41,,"Raphe Battridge, Richard Standbridge, Margeret Owen and Katherine Rowland. QJF 67/1/41 (1638)",155227.xml
1288,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/1/42,,"Margaret Maddor, on behalf of herself and her children. QJF 67/1/42 (1638)",155227.xml
1289,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/1/44,,Peter Lawrenson. QJF 67/1/44 (1638),155227.xml
1290,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/1/45,,"Richard Burrowes, on behalf of himself, wife and children. QJF 67/1/45 (1638)",155227.xml
1291,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/1/46,,Richard Daggott. QJF 67/1/46 (1638),155227.xml
1292,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/1/48,,"William Barton of Norbury, yeoman. QJF 67/1/48 (1638)",155227.xml
1293,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/1/49,,"William Higham of Adlington, yeoman. QJF 67/1/49 (1638)",155227.xml
1294,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/1/98,,"Thomas Hutchins of Aston, yeoman. QJF 67/1/98 (1638)",155227.xml
1295,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/2/41,,The inhabitants of the parish of Bunbury. QJF 67/2/41 (1638),155227.xml
1296,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/2/42,,The inhabitants and parishioners of Bunbury. QJF 67/2/42 (1638),155227.xml
1297,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/2/45,,"Alice Charley wife of James Charley of Alderley, butcher. QJF 67/2/45 (1638)",155227.xml
1298,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/2/46,,George Hayes. QJF 67/2/46 (1638),155227.xml
1299,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/2/47,,Thomas Beckett. QJF 67/2/47 (1638),155227.xml
1300,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/2/49,,"Thomas Shetwall of Newbold Atburie, yeoman. QJF 67/2/49 (1638)",155227.xml
1301,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/2/53,,The supervisor for highways and inhabitants of Hartford. QJF 67/2/53 (1638),155227.xml
1302,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/2/54,,Margerie Walton. QJF 67/2/54 (1638),155227.xml
1303,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/2/55,,"Henry Rydinges of Stockport, husbandman. QJF 67/2/55 (1638)",155227.xml
1304,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/2/56,,William Bennett of Great Neston. QJF 67/2/56 (1638),155227.xml
1305,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/2/57,,"Margaret Coulthurst, widow. QJF 67/2/57 (1638)",155227.xml
1306,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/2/58,,The inhabitants of several townships. QJF 67/2/58 (1638),155227.xml
1307,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/2/60,,"Richard Worrall, a head constable of the hundred of Bucklowe. QJF 67/2/60 (1638)",155227.xml
1308,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/2/61,,Roger Moores of Northerne. QJF 67/2/61 (1638),155227.xml
1309,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/2/62,,"William Poole and Raphe Poole, churchwardens of p. Audlem. QJF 67/2/62 (1638)",155227.xml
1310,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/2/63,,Anne Barne of Audlem. QJF 67/2/63 (1638),155227.xml
1311,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/2/64,,The churchwardens and overseers for the poor of Nantwich. QJF 67/2/64 (1638),155227.xml
1312,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/2/65,,"William Smith, constable of Minshull Vernon. QJF 67/2/65 (1638)",155227.xml
1313,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/2/66,,John Relton and Jane his wife. QJF 67/2/66 (1638),155227.xml
1314,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/2/67,,"John Bebington, Alice Bebington, Margrett Cappur, Joane Dod, Thomas Stockton and Randle Piggott. QJF 67/2/67 (1638)",155227.xml
1315,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/2/68,,The inhabitants of the township of Wettenall. QJF 67/2/68 (1638),155227.xml
1316,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/2/69,,"Roberte Barlowe, James Mosse, Henrye Shalcross, Thomas Massey, John Royle and Ellen Ashton. QJF 67/2/69 (1638)",155227.xml
1317,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/2/70,,"Robert Sugar, Thomas Sharpe and other inhabitants of the hundred of Worrall. QJF 67/2/70 (1638)",155227.xml
1318,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/2/71,,John Vernon of Pulford. QJF 67/2/71 (1638),155227.xml
1319,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/2/72,,"Ellen Owen, a poor distressed widow. QJF 67/2/72 (1638)",155227.xml
1320,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/2/74,,Randull Granwall of Wettenhall. QJF 67/2/74 (1638),155227.xml
1321,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/2/75,,John Wilkinson of Wettenhall. QJF 67/2/75 (1638),155227.xml
1322,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/2/76,,"Margarett Bennett of Smethwick, spinster. QJF 67/2/76 (1638)",155227.xml
1323,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/2/77,,The churchwardens and inhabitants of the parish of Bartomley. QJF 67/2/77 (1638),155227.xml
1324,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/2/78,,"Thomas Prophett of Mouldesworth, weaver. QJF 67/2/78 (1638)",155227.xml
1325,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/2/79,,Richard Williams. QJF 67/2/79 (1638),155227.xml
1326,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/2/80,,The inhabitants of Twemlowe. QJF 67/2/80 (1638),155227.xml
1327,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/2/82,,Frauncis Haukinson of Audlem. QJF 67/2/82 (1638),155227.xml
1328,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/2/83,,"John Kent of Sandbach, glover. QJF 67/2/83 (1638)",155227.xml
1329,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/2/84,,The inhabitants of the parish of Sandbach in support of John Kent. QJF 67/2/84 (1638),155227.xml
1330,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/2/85,,"Margarett Colthirste, widow. QJF 67/2/85 (1638)",155227.xml
1331,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/2/86,,"Elizabeth Greaves, wife of Edward Greaves of Pointon, husbandman. QJF 67/2/86 (1638)",155227.xml
1332,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/2/93,,The churchwardens of the parish of Prestburie. QJF 67/2/93 (1638),155227.xml
1333,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/3/12,,Peter Maynwaring. QJF 67/3/12 (1638),155227.xml
1334,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/3/13,,"Thomas Tasker, constable of Stublach. QJF 67/3/13 (1638)",155227.xml
1335,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/3/15,,"William Barnes and Thomas Shenton, yeomen. QJF 67/3/15 (1638)",155227.xml
1336,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/3/17,,The inhabitants of the township of Bollington. QJF 67/3/17 (1638),155227.xml
1337,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/3/19,,"Richard Cane of Darnall, labourer. QJF 67/3/19 (1638)",155227.xml
1338,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/3/20,,Anne Birkett. QJF 67/3/20 (1638),155227.xml
1339,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/3/21,,Raphe Reade and Anne his wife. QJF 67/3/21 (1638),155227.xml
1340,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/3/22,,William Platt of the parishe of Whitegate. QJF 67/3/22 (1638),155227.xml
1341,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/3/23,,"Raphe Prince of Spurstowe, laborer. QJF 67/3/23 (1638)",155227.xml
1342,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/3/25,,"Elizabeth Stretch, spinster. QJF 67/3/25 (1638)",155227.xml
1343,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/3/26,,"John Cotton, tailor. QJF 67/3/26 (1638)",155227.xml
1344,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/3/28,,"Elizabeth Bradshawe, spinster. QJF 67/3/28 (1638)",155227.xml
1345,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/3/29,,Richard Litler. QJF 67/3/29 (1638),155227.xml
1346,Cheshire,1638,Cheshire Quarter Sessions: 1638,1638,QJF 67/3/30,,Johan Duckworth of the parish of Davenham. QJF 67/3/30 (1638),155227.xml
1522,Cheshire,1658,Cheshire Quarter Sessions: 1658,1658,QJF 85/4/123,,Richard Piddall and 12 other inhabitants of Bramhall. QJF 85/4/123 (1658),155228.xml
1523,Cheshire,1658,Cheshire Quarter Sessions: 1658,1658,QJF 85/4/124,,"Margaret Knowlesley, widow. QJF 85/4/124 (1658)",155228.xml
